Store,Store_Owner,Region_Level_1,Region_Level_2,Urban_Rural
1,1,Eisenstadt-Umgebung,GWR,Urban
2,1,Politischer Bezirk Güssing,GWR,Urban
3,1,Politischer Bezirk Jennersdorf,GWR,Urban
4,1,Politischer Bezirk Jennersdorf,GWR,Urban
5,1,Politischer Bezirk Oberpullendorf,GWR,Urban
6,1,Politischer Bezirk Oberwart,GWR,Urban
7,1,Villach Stadt,PUF,Urban
8,1,Politischer Bezirk Hermagor,MSD,Rural
9,2,Politischer Bezirk Klagenfurt Land,SQI,Urban
10,2,Politischer Bezirk Sankt Veit an der Glan,SQI,Urban
11,3,Politischer Bezirk Spittal an der Drau,OOO,Rural
12,4,Politischer Bezirk Villach Land,JHJ,Urban
13,5,Politischer Bezirk Völkermarkt,KWA,Rural
14,6,Politischer Bezirk Wolfsberg,QDA,Urban
15,7,Politischer Bezirk Feldkirchen,WPH,Urban
16,8,Krems an der Donau Stadt,FAC,Urban
17,9,Sankt Pölten Stadt,GCG,Rural
18,10,Wiener Neustadt Stadt,KCF,Rural
19,10,Politischer Bezirk Amstetten,KCF,Urban
20,10,Wiener Neustadt Stadt,KCF,Rural
21,11,Politischer Bezirk Baden,NSX,Urban
22,12,Politischer Bezirk Bruck an der Leitha,TPV,Urban
23,11,Politischer Bezirk Gänserndorf,VSZ,Rural
24,12,Politischer Bezirk Gmünd,TPV,Rural
25,10,Wiener Neustadt Stadt,KCF,Rural
26,13,Politischer Bezirk Hollabrunn,QDA,Urban
27,14,Politischer Bezirk Horn,IRG,Urban
28,14,Politischer Bezirk Korneuburg,IRG,Rural
29,12,Politischer Bezirk Gmünd,TPV,Rural
30,15,Politischer Bezirk Krems,TIG,Rural
31,16,Politischer Bezirk Völkermarkt,KWA,Rural
32,17,Politischer Bezirk Lilienfeld,VSZ,Urban
33,16,Politischer Bezirk Melk,KWA,Urban
34,18,Politischer Bezirk Mistelbach,LAV,Urban
35,19,Sankt Pölten Stadt,GCG,Rural
36,20,Politischer Bezirk Mödling,NLG,Rural
37,21,Politischer Bezirk Neunkirchen,PPM,Urban
38,22,Politischer Bezirk Sankt Pölten,NSX,Rural
39,23,Politischer Bezirk Scheibbs,JOP,Urban
40,20,Politischer Bezirk Tulln,NLG,Urban
41,24,Politischer Bezirk Waidhofen an der Thaya,YIU,Urban
42,25,Politischer Bezirk Wiener Neustadt,QZN,Rural
43,26,Politischer Bezirk Zwettl,WPH,Rural
44,20,Wels Stadt,MEO,Urban
45,27,Politischer Bezirk Braunau am Inn,ICA,Urban
46,27,Politischer Bezirk Eferding,ICA,Rural
47,28,Politischer Bezirk Freistadt,TZF,Rural
48,29,Politischer Bezirk Gmunden,LRJ,Urban
49,29,Politischer Bezirk Grieskirchen,LRJ,Urban
50,28,Politischer Bezirk Freistadt,TZF,Rural
51,30,Politischer Bezirk Kirchdorf an der Krems,SQI,Urban
52,31,Politischer Bezirk Linz-Land,TOH,Urban
53,32,Politischer Bezirk Perg,TZF,Urban
54,28,Politischer Bezirk Ried im Innkreis,TZF,Urban
55,33,Politischer Bezirk Rohrbach,MDM,Rural
56,34,Politischer Bezirk Schärding,WJO,Urban
57,35,Politischer Bezirk Steyr-Land,VFN,Rural
58,36,Politischer Bezirk Urfahr-Umgebung,WFJ,Urban
59,8,Krems an der Donau Stadt,FAC,Urban
60,37,Politischer Bezirk Vöcklabruck,IPP,Urban
61,38,Wels-Land,LAV,Urban
62,39,Politischer Bezirk Hallein,JLJ,Rural
63,40,Politischer Bezirk Hallein,JLJ,Rural
64,41,Politischer Bezirk Hallein,JLJ,Rural
65,41,Politischer Bezirk Hallein,JLJ,Rural
66,42,Politischer Bezirk Salzburg-Umgebung,PPM,Rural
67,8,Krems an der Donau Stadt,FAC,Urban
68,43,Politischer Bezirk Eferding,ICA,Rural
69,44,Politischer Bezirk Steyr-Land,VFN,Rural
70,45,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
71,46,Politischer Bezirk Tamsweg,UAY,Rural
72,47,Politischer Bezirk Gänserndorf,VSZ,Rural
73,48,Politischer Bezirk Zell am See,IYN,Urban
74,49,Sankt Pölten Stadt,GCG,Rural
75,50,Politischer Bezirk Steyr-Land,VFN,Rural
76,51,Graz Stadt,MMJ,Rural
77,30,Politischer Bezirk Kirchdorf an der Krems,SQI,Urban
78,30,Politischer Bezirk Kirchdorf an der Krems,SQI,Urban
79,30,Politischer Bezirk Kirchdorf an der Krems,SQI,Urban
80,30,Politischer Bezirk Deutschlandsberg,JOP,Urban
81,29,Politischer Bezirk Graz-Umgebung,LRJ,Urban
82,30,Politischer Bezirk Leibnitz,SQI,Urban
83,52,Politischer Bezirk Leoben,DNJ,Rural
84,53,Politischer Bezirk Liezen,JOP,Urban
85,8,Krems an der Donau Stadt,FAC,Urban
86,8,Politischer Bezirk Murau,TPV,Urban
87,4,Politischer Bezirk Voitsberg,SQI,Rural
88,54,Politischer Bezirk Weiz,JHJ,Urban
89,55,Politischer Bezirk Murtal,TPV,Urban
90,51,Politischer Bezirk Bruck-Mürzzuschlag,MMJ,Urban
91,54,Politischer Bezirk Hartberg-Fürstenfeld,JHJ,Urban
92,51,Politischer Bezirk Südoststeiermark,MMJ,Urban
93,32,Innsbruck Stadt,TZF,Urban
94,51,Politischer Bezirk Imst,MMJ,Urban
95,51,Politischer Bezirk Innsbruck Land,MMJ,Urban
96,51,Politischer Bezirk Bruck-Mürzzuschlag,MMJ,Urban
97,56,Politischer Bezirk Kufstein,QDA,Urban
98,51,Politischer Bezirk Bruck-Mürzzuschlag,MMJ,Urban
99,51,Politischer Bezirk Landeck,MMJ,Urban
100,51,Politischer Bezirk Lienz,QZN,Urban
101,57,Politischer Bezirk Reutte,WJO,Urban
102,22,Politischer Bezirk Bludenz,MEO,Urban
103,32,Innsbruck Stadt,TZF,Urban
104,58,Politischer Bezirk Bregenz,PUF,Rural
105,58,Politischer Bezirk Feldkirch,PUF,Urban
106,55,Politischer Bezirk Murtal,TPV,Urban
107,59,Graz Stadt,MMJ,Rural
108,38,Salzburg Stadt,LAV,Urban
109,60,Politischer Bezirk Kitzbühel,ICA,Urban
110,61,Politischer Bezirk Dornbirn,TZF,Urban
111,61,Politischer Bezirk Wien (Stadt),SMM,Urban
112,61,Rust Stadt,UAY,Urban
113,62,Politischer Bezirk Mattersburg,FAC,Urban
114,63,Politischer Bezirk Neusiedl am See,KTR,Urban
115,64,Politischer Bezirk Schwaz,FAC,Urban
116,65,Politischer Bezirk Eferding,ICA,Rural
117,54,Steyr Stadt,IRA,Urban
118,66,Politischer Bezirk Eferding,ICA,Rural
119,22,Linz Stadt,NSX,Urban
120,22,Linz Stadt,NSX,Urban
121,28,Politischer Bezirk Ried im Innkreis,TZF,Urban
122,28,Klagenfurt am Wörthersee,TZF,Urban
123,22,Waidhofen an der Ybbs Stadt,NSX,Urban
124,67,Eisenstadt Stadt,TIF,Rural
125,68,Hainaut,YIU,Urban
126,69,Liège,YIU,Urban
127,62,Luxembourg,FAC,Urban
128,46,Eisenstadt Stadt,TIF,Rural
129,70,Namur,MSD,Urban
130,71,Bruxelles (19 communes),YIU,Urban
131,72,Anvers,EPM,Urban
132,73,Brabant Flamand,DNC,Rural
133,38,Limbourg,LAV,Urban
134,74,Flandre-Orientale,KTR,Urban
135,38,Limbourg,LAV,Urban
136,38,Flandre-Occidentale,LAV,Rural
137,75,Politischer Bezirk Sankt Pölten,NSX,Rural
138,76,Politischer Bezirk Steyr-Land,VFN,Rural
139,77,Brabant Wallon,QDA,Urban
140,78,Mladá Boleslav,FAC,Urban
141,79,Nymburk,YIU,Urban
142,80,Praha-východ,QDA,Rural
143,81,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
144,28,Politischer Bezirk Ried im Innkreis,TZF,Urban
145,28,Politischer Bezirk Ried im Innkreis,TZF,Urban
146,82,Politischer Bezirk Wiener Neustadt,QZN,Rural
147,83,Flandre-Occidentale,LAV,Rural
148,80,Praha-západ,QDA,Urban
149,80,Příbram,QDA,Urban
150,84,Rakovník,APM,Urban
151,85,Děčín,NLX,Urban
152,85,Chomutov,NLX,Urban
153,86,Litoměřice,NGO,Rural
154,87,Louny,KTR,Rural
155,7,Flandre-Occidentale,LAV,Rural
156,7,Flandre-Occidentale,LAV,Rural
157,88,Most,WFJ,Urban
158,89,Politischer Bezirk Spittal an der Drau,OOO,Rural
159,89,Teplice,JHJ,Urban
160,89,Ústí nad Labem,JHJ,Urban
161,76,Politischer Bezirk Eferding,ICA,Rural
162,76,Zlín,VFN,Urban
163,90,Kroměříž,DHA,Urban
164,79,Uherské Hradiště,YIU,Urban
165,76,Politischer Bezirk Steyr-Land,VFN,Rural
166,38,Wels-Land,LAV,Urban
167,91,Vsetín,WPH,Urban
168,74,Strakonice,KTR,Urban
169,92,Tábor,VSZ,Urban
170,93,Praha-východ,QDA,Rural
171,94,Pelhřimov,SQI,Urban
172,95,Havlíčkův Brod,QDA,Urban
173,95,Praha-východ,QDA,Rural
174,96,Jihlava,JLJ,Urban
175,97,Třebíč,SKS,Urban
176,97,Třebíč,SKS,Urban
177,97,Žďár nad Sázavou,SKS,Rural
178,97,Žďár nad Sázavou,SKS,Rural
179,98,Cheb,UAY,Urban
180,97,Karlovy Vary,SKS,Urban
181,97,Žďár nad Sázavou,SKS,Rural
182,97,Sokolov,SKS,Urban
183,97,Hradec Králové,SKS,Urban
184,99,Jičín,WFJ,Urban
185,100,Náchod,VSZ,Urban
186,101,Rychnov nad Kněžnou,RSL,Urban
187,102,Trutnov,LAV,Urban
188,68,Česká Lípa,YIU,Urban
189,22,Waidhofen an der Ybbs Stadt,NSX,Urban
190,101,Jablonec nad Nisou,RSL,Urban
191,22,Liberec,MEO,Rural
192,101,Semily,UIS,Urban
193,101,Prostějov,WFJ,Urban
194,68,Olomouc,YIU,Urban
195,69,Přerov,YIU,Rural
196,69,Přerov,YIU,Rural
197,103,Šumperk,JHR,Urban
198,104,Jeseník,RUN,Urban
199,105,Liberec,MEO,Rural
200,38,Flandre-Occidentale,LAV,Rural
201,106,Politischer Bezirk Gmünd,TPV,Rural
202,107,Bruntál,JHJ,Urban
203,108,Frýdek-Místek,LAV,Urban
204,109,Politischer Bezirk Rohrbach,MDM,Rural
205,110,Karviná,LRJ,Urban
206,110,Nový Jičín,LRJ,Rural
207,110,Nový Jičín,LRJ,Rural
208,111,Sankt Pölten Stadt,GCG,Rural
209,112,Politischer Bezirk Gmünd,TPV,Rural
210,55,Politischer Bezirk Murtal,TPV,Urban
211,55,Opava,TPV,Urban
212,55,Ostrava-město,TPV,Urban
213,113,Chrudim,ICA,Urban
214,38,Pardubice,LAV,Urban
215,114,Svitavy,AAR,Urban
216,38,Ústí nad Orlicí,LAV,Urban
217,115,Politischer Bezirk Wiener Neustadt,QZN,Rural
218,116,Sankt Pölten Stadt,GCG,Rural
219,117,Domažlice,QDA,Urban
220,118,Nový Jičín,LRJ,Rural
221,119,Klatovy,NGO,Urban
222,119,Plzeň-město,NGO,Urban
223,120,Plzeň-jih,XEG,Rural
224,92,Plzeň-sever,VSZ,Urban
225,92,Rokycany,VSZ,Urban
226,92,Politischer Bezirk Gänserndorf,VSZ,Rural
227,121,Louny,KTR,Rural
228,122,Praha-východ,QDA,Rural
229,123,Tachov,ICA,Urban
230,124,Benešov,UQM,Rural
231,125,Beroun,WPH,Urban
232,126,Politischer Bezirk Steyr-Land,VFN,Rural
233,127,Krems an der Donau Stadt,FAC,Urban
234,128,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
235,129,Politischer Bezirk Eferding,ICA,Rural
236,129,Chrudim,ICA,Urban
237,92,Tábor,VSZ,Urban
238,92,Tábor,VSZ,Urban
239,58,Politischer Bezirk Bregenz,PUF,Rural
240,32,Innsbruck Stadt,TZF,Urban
241,130,Kladno,MSD,Urban
242,52,Politischer Bezirk Leoben,DNJ,Rural
243,131,Kolín,TIG,Urban
244,71,Kutná Hora,YIU,Urban
245,68,Mělník,YIU,Urban
246,132,Graz Stadt,MMJ,Rural
247,133,Politischer Bezirk Hermagor,MSD,Rural
248,134,Žďár nad Sázavou,SKS,Rural
249,134,Žďár nad Sázavou,SKS,Rural
250,135,Benešov,UQM,Rural
251,68,Hlavní město Praha,JHR,Urban
252,136,Blansko,FAC,Rural
253,137,Brno-město,JLJ,Urban
254,89,Brno-venkov,DHA,Rural
255,89,Ústí nad Labem,JHJ,Urban
256,89,Břeclav,JHJ,Rural
257,8,Krems an der Donau Stadt,FAC,Urban
258,138,Politischer Bezirk Korneuburg,IRG,Rural
259,19,Sankt Pölten Stadt,GCG,Rural
260,19,Sankt Pölten Stadt,GCG,Rural
261,139,Hodonín,QZN,Urban
262,139,Politischer Bezirk Wiener Neustadt,QZN,Rural
263,33,Vyškov,MDM,Urban
264,33,Politischer Bezirk Rohrbach,MDM,Rural
265,33,Politischer Bezirk Rohrbach,MDM,Rural
266,140,Znojmo,NGO,Urban
267,141,Politischer Bezirk Eferding,ICA,Rural
268,69,České Budějovice,YIU,Urban
269,142,Český Krumlov,NSX,Urban
270,142,Český Krumlov,NSX,Urban
271,142,Jindřichův Hradec,TPV,Urban
272,143,Písek,WPH,Urban
273,144,Litoměřice,NGO,Rural
274,145,Politischer Bezirk Mödling,NLG,Rural
275,146,Prachatice,VSZ,Urban
276,111,Sankt Pölten Stadt,GCG,Rural
277,147,Copenhagen,GCG,Urban
278,114,Frederiksberg Kommune,AAR,Urban
279,90,Hvidovre Kommune,APM,Urban
280,148,Politischer Bezirk Zwettl,WPH,Rural
281,149,Fredensborg Kommune,NLG,Urban
282,150,Politischer Bezirk Zwettl,WPH,Rural
283,151,Politischer Bezirk Baden,NSX,Urban
284,142,Politischer Bezirk Sankt Pölten,NSX,Rural
285,152,Politischer Bezirk Gänserndorf,VSZ,Rural
286,153,Helsingør Kommune,AAR,Urban
287,102,Syddjurs Kommune,LAV,Urban
288,148,Politischer Bezirk Zwettl,WPH,Rural
289,148,Politischer Bezirk Zwettl,WPH,Rural
290,71,Silkeborg Kommune,YIU,Urban
291,154,Ringkøbing-Skjern Kommune,QDA,Urban
292,154,Praha-východ,QDA,Rural
293,155,Skive Kommune,PPM,Urban
294,156,Morsø Kommune,RUN,Urban
295,157,Litoměřice,NGO,Rural
296,101,Brønderslev Kommune,WFJ,Urban
297,158,Vesthimmerland Kommune,GCG,Urban
298,158,Sankt Pölten Stadt,GCG,Rural
299,34,Læso Kommune,WJO,Urban
300,159,Benešov,UQM,Rural
301,103,Hjørring Kommune,YIU,Urban
302,160,Politischer Bezirk Eferding,ICA,Rural
303,27,Chrudim,ICA,Urban
304,27,Politischer Bezirk Eferding,ICA,Rural
305,161,Køge Kommune,SKS,Urban
306,89,Slagelse Kommune,OOO,Urban
307,162,Litoměřice,NGO,Rural
308,163,Sorø Kommune,WPH,Urban
309,164,Politischer Bezirk Korneuburg,IRG,Rural
310,165,Politischer Bezirk Eferding,ICA,Rural
