Store,Store_Owner,Region_Level_1,Region_Level_2,Urban_Rural
311,166,Lejre Kommune,SQI,Urban
312,20,Politischer Bezirk Mödling,NLG,Rural
313,167,Blansko,FAC,Rural
314,167,Lolland Kommune,FAC,Urban
315,167,Næstved Kommune,FAC,Urban
316,168,Benešov,UQM,Rural
317,167,Vordingborg Kommune,LRJ,Urban
318,20,Faaborg-Midtfyn Kommune,TPV,Urban
319,167,Nyborg Kommune,LRJ,Urban
320,169,Politischer Bezirk Krems,TIG,Rural
321,20,Odense Kommune,NLG,Urban
322,170,Břeclav,JHJ,Rural
323,170,Billund Kommune,JHJ,Urban
324,20,Blansko,FAC,Rural
325,171,Politischer Bezirk Korneuburg,IRG,Rural
326,95,Politischer Bezirk Kufstein,QDA,Urban
327,28,Tønder Kommune,TZF,Urban
328,172,Politischer Bezirk Gmünd,TPV,Rural
329,173,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
330,173,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
331,173,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
332,174,Varde Kommune,UQM,Urban
333,175,Plzeň-jih,XEG,Rural
334,175,Kolding Kommune,XEG,Urban
335,175,Plzeň-jih,XEG,Rural
336,176,Politischer Bezirk Steyr-Land,VFN,Rural
337,177,Louny,KTR,Rural
338,95,Københavns Kommune,QDA,Urban
339,95,Gladsaxe Municipality,QDA,Urban
340,167,Vordingborg Kommune,LRJ,Urban
341,167,Ishøj Kommune,FAC,Urban
342,178,Politischer Bezirk Steyr-Land,VFN,Rural
343,179,Litoměřice,NGO,Rural
344,170,Allerød Kommune,JHJ,Urban
345,180,Bornholm Kommune,KTR,Urban
346,181,Favrskov Kommune,QDA,Urban
347,182,Aarhus Kommune,LAV,Urban
348,183,Hedensted Kommune,TOH,Urban
349,184,Ålborg Kommune,PUF,Urban
350,185,Roskilde Kommune,RUN,Rural
351,186,Politischer Bezirk Gmünd,TPV,Rural
352,187,Eisenstadt Stadt,TIF,Rural
353,131,Odsherred Kommune,TIG,Urban
354,17,Faxe Kommune,TPV,Urban
355,131,Guldborgsund Kommune,TIG,Urban
356,92,Middelfart Kommune,VSZ,Urban
357,163,Vejle Kommune,WPH,Urban
358,163,Hillerød Kommune,WPH,Urban
359,163,Sorø Kommune,WPH,Urban
360,16,Herning Kommune,KWA,Urban
361,188,Holstebro Kommune,VIL,Urban
362,189,Ikast-Brande Kommune,WPH,Urban
363,189,Frederikshavn Kommune,LAV,Urban
364,89,Politischer Bezirk Spittal an der Drau,OOO,Rural
365,190,Solrød Kommune,QDA,Urban
366,64,Assens Kommune,KTR,Urban
367,37,Kerteminde Kommune,IPP,Urban
368,191,Politischer Bezirk Hermagor,MSD,Rural
369,192,Benešov,UQM,Rural
370,29,Svendborg Kommune,TIF,Urban
371,29,Nordfyns Kommune,LRJ,Urban
372,29,Nordfyns Kommune,LRJ,Urban
373,193,Politischer Bezirk Zwettl,WPH,Rural
374,194,Louny,KTR,Rural
375,194,Louny,KTR,Rural
376,71,Kutná Hora,YIU,Urban
377,195,Politischer Bezirk Gänserndorf,VSZ,Rural
378,195,Politischer Bezirk Gänserndorf,VSZ,Rural
379,196,Louny,KTR,Rural
380,197,Politischer Bezirk Steyr-Land,VFN,Rural
381,198,Langeland Kommune,DNJ,Urban
382,199,Chrudim,ICA,Urban
383,200,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
384,201,Politischer Bezirk Zwettl,WPH,Rural
385,85,Lemvig Kommune,AAR,Urban
386,202,Politischer Bezirk Salzburg-Umgebung,PPM,Rural
387,202,Politischer Bezirk Salzburg-Umgebung,PPM,Rural
388,203,Chrudim,ICA,Urban
389,204,Norddjurs Kommune,QDA,Urban
390,205,Randers Kommune,NSX,Urban
391,206,Politischer Bezirk Liezen,JOP,Urban
392,74,Strakonice,KTR,Urban
393,203,Chrudim,ICA,Urban
394,203,Chrudim,ICA,Urban
395,207,Politischer Bezirk Salzburg-Umgebung,PPM,Rural
396,207,Politischer Bezirk Salzburg-Umgebung,PPM,Rural
397,207,Politischer Bezirk Salzburg-Umgebung,PPM,Rural
398,74,Louny,KTR,Rural
399,74,Viborg Kommune,KTR,Urban
400,205,Randers Kommune,NSX,Urban
401,208,Politischer Bezirk Salzburg-Umgebung,PPM,Rural
402,209,Rebild Kommune,TZF,Urban
403,205,Politischer Bezirk Sankt Pölten,NSX,Rural
404,205,Mariagerfjord Kommune,NSX,Urban
405,205,Stevns Kommune,NSX,Urban
406,210,Læso Kommune,WJO,Urban
407,205,Sønderborg Kommune,NSX,Urban
408,211,Vejen Kommune,NLX,Urban
409,212,Litoměřice,NGO,Rural
410,213,Politischer Bezirk Steyr-Land,VFN,Rural
411,198,Aabenraa Kommune,IKF,Urban
412,214,Politischer Bezirk Hermagor,MSD,Rural
413,215,Gentofte Kommune,TZF,Urban
414,215,Albertslund Kommune,AAR,Urban
415,215,Furesø Kommune,NLX,Urban
416,215,Egedal Kommune,JOP,Urban
417,215,Gribskov Kommune,NLX,Rural
418,215,Jammerbugt Kommune,WJO,Urban
419,215,Kalundborg Kommune,JOP,Urban
420,216,Aalborg Kommune,TZF,Urban
421,216,Rudersdal Kommune,TZF,Urban
422,217,Holbæk Kommune,PPM,Urban
423,185,Roskilde Kommune,RUN,Rural
424,218,Ærø Kommune,SQI,Urban
425,219,Louny,KTR,Rural
426,219,Louny,KTR,Rural
427,137,Struer Kommune,JLJ,Urban
428,61,Rust Stadt,UAY,Urban
429,219,Odder Kommune,KTR,Urban
430,220,Aabenraa Kommune,IKF,Urban
431,35,Politischer Bezirk Hermagor,MSD,Rural
432,45,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
433,64,Blansko,FAC,Rural
434,214,Politischer Bezirk Hermagor,MSD,Rural
435,221,Louny,KTR,Rural
436,222,Haderslev Kommune,VFN,Urban
437,223,Louny,KTR,Rural
438,103,Fredericia Kommune,YIU,Urban
439,103,Dragør Kommune,YIU,Urban
440,221,Louny,KTR,Rural
441,224,Flandre-Occidentale,LAV,Rural
442,216,Horsens Kommune,TZF,Urban
443,48,Greve Kommune,IYN,Urban
444,137,Esbjerg Kommune,JLJ,Urban
445,216,Ballerup Kommune,TZF,Urban
446,216,Thisted Kommune,TZF,Urban
447,216,Brøndby Kommune,TZF,Urban
448,216,Høje-Taastrup Kommune,TZF,Urban
449,216,Tårnby Kommune,TZF,Urban
450,216,Politischer Bezirk Freistadt,TZF,Rural
451,216,Rødovre Kommune,TZF,Urban
452,225,Politischer Bezirk Hermagor,MSD,Rural
453,226,Politischer Bezirk Freistadt,TZF,Rural
454,18,Politischer Bezirk Zell am See,IYN,Urban
455,18,Halsnæs Kommune,IYN,Urban
456,18,Samsø Kommune,LAV,Urban
457,18,Flandre-Occidentale,LAV,Rural
458,227,Benešov,UQM,Rural
459,228,Hvidovre Kommune,APM,Urban
460,48,Greve Kommune,IYN,Urban
461,229,Louny,KTR,Rural
462,48,Politischer Bezirk Zell am See,IYN,Urban
463,230,Flandre-Occidentale,LAV,Rural
464,231,Nový Jičín,LRJ,Rural
465,124,Ringsted Kommune,UQM,Urban
466,232,Hørsholm Kommune,WJO,Urban
467,233,Benešov,UQM,Rural
468,230,Flandre-Occidentale,LAV,Rural
469,234,Politischer Bezirk Spittal an der Drau,OOO,Rural
470,235,Eisenstadt Stadt,TIF,Rural
471,236,Vallensbæk Kommune,VIL,Urban
472,237,Frederikssund Kommune,OOO,Urban
473,238,Litoměřice,NGO,Rural
474,239,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
475,240,Politischer Bezirk Korneuburg,IRG,Rural
476,241,Glostrup Kommune,JLJ,Urban
477,242,Praha-východ,QDA,Rural
478,221,Politischer Bezirk Neusiedl am See,KTR,Urban
479,243,Skanderborg Kommune,LAV,Urban
480,216,Herlev Kommune,TZF,Urban
481,216,Politischer Bezirk Freistadt,TZF,Rural
482,244,Louny,KTR,Rural
483,245,Litoměřice,NGO,Rural
484,216,Ballerup Kommune,TZF,Urban
485,90,Hvidovre Kommune,APM,Urban
486,246,Litoměřice,NGO,Rural
487,247,Roskilde Kommune,RUN,Rural
488,248,Litoměřice,NGO,Rural
489,248,Lyngby-Tårbæk Kommune,NGO,Urban
490,248,Fanø Kommune,NGO,Urban
491,107,Bruntál,JHJ,Urban
492,102,Helsinki,NSX,Urban
493,102,Trutnov,LAV,Urban
494,249,Litoměřice,NGO,Rural
495,102,Trutnov,LAV,Urban
496,102,Flandre-Occidentale,LAV,Rural
497,107,Porvoo,IRA,Urban
498,107,Bruntál,JHJ,Urban
499,91,Åboland-Turunmaa,WPH,Urban
500,250,Politischer Bezirk Neusiedl am See,KTR,Urban
501,250,Louny,KTR,Rural
502,230,Politischer Bezirk Zwettl,WPH,Rural
503,102,Flandre-Occidentale,LAV,Rural
504,248,Litoměřice,NGO,Rural
505,248,Salo,NGO,Urban
506,251,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
507,109,Politischer Bezirk Rohrbach,MDM,Rural
508,252,Turku,CMH,Rural
509,253,Louny,KTR,Rural
510,164,Vakka-Suomi,IRG,Urban
511,254,Politischer Bezirk Hermagor,MSD,Rural
512,240,Sankt Pölten Stadt,GCG,Rural
513,218,Politischer Bezirk Voitsberg,SQI,Rural
514,218,Loimaa,JOP,Rural
515,218,Rauma,SQI,Urban
516,255,Politischer Bezirk Zwettl,WPH,Rural
517,256,Politischer Bezirk Eferding,ICA,Rural
518,257,Litoměřice,NGO,Rural
519,257,Litoměřice,NGO,Rural
520,240,Sankt Pölten Stadt,GCG,Rural
521,147,Pori,GCG,Urban
522,147,Copenhagen,GCG,Urban
523,147,Pohjois-Satakunta,GCG,Urban
524,147,Sankt Pölten Stadt,GCG,Rural
525,258,Litoměřice,NGO,Rural
526,4,Hämeenlinna,IRA,Urban
527,4,Luoteis-Pirkanmaa,IRA,Urban
528,259,Blansko,FAC,Rural
529,4,Tampere,IRA,Urban
530,223,Lahti,KTR,Urban
531,260,Kotka-Hamina,WPH,Urban
532,261,Politischer Bezirk Tamsweg,UAY,Rural
533,262,Nový Jičín,LRJ,Rural
534,263,Lappeenranta,GWR,Urban
535,31,Imatra,TOH,Urban
536,264,Politischer Bezirk Zwettl,WPH,Rural
537,265,Mikkeli,NGO,Urban
538,266,Savonlinna,QDA,Urban
539,267,Strakonice,KTR,Urban
540,268,Benešov,UQM,Rural
541,269,Pieksämäki,NGO,Urban
542,31,Ylä-Savo,PUF,Urban
543,31,Kuopio,TOH,Urban
544,270,Joensuu,IYN,Urban
545,271,Politischer Bezirk Eferding,ICA,Rural
546,210,Læso Kommune,WJO,Urban
547,103,Dragør Kommune,YIU,Urban
548,89,Keski-Karjala,JHJ,Urban
549,272,Pielisen Karjala,THH,Rural
550,273,Louny,KTR,Rural
551,274,Nymburk,YIU,Urban
552,274,Jyväskylä,YIU,Urban
553,218,Keuruu,JOP,Urban
554,143,Politischer Bezirk Zwettl,WPH,Rural
555,275,Politischer Bezirk Sankt Pölten,NSX,Rural
556,275,Politischer Bezirk Sankt Pölten,NSX,Rural
557,266,Praha-východ,QDA,Rural
558,276,Praha-východ,QDA,Rural
559,277,Politischer Bezirk Eferding,ICA,Rural
560,164,Jämsä,IRG,Urban
561,164,Saarijärvi-Viitasaari,IRG,Urban
562,278,Politischer Bezirk Eferding,ICA,Rural
563,278,Politischer Bezirk Steyr-Land,VFN,Rural
564,278,Suupohja,VFN,Urban
565,88,Seinäjoki,QQS,Urban
566,279,Ikast-Brande Kommune,WPH,Urban
567,279,Ikast-Brande Kommune,WPH,Urban
568,88,Kuusiokunnat,QQS,Rural
569,118,Nový Jičín,LRJ,Rural
570,250,Louny,KTR,Rural
571,280,Chrudim,ICA,Urban
572,55,Järviseutu,TPV,Urban
573,12,Politischer Bezirk Bruck an der Leitha,TPV,Urban
574,114,Frederiksberg Kommune,AAR,Urban
575,280,Vaasa,KTR,Urban
576,281,Litoměřice,NGO,Rural
577,281,Politischer Bezirk Eferding,ICA,Rural
578,281,Sydösterbotten,ICA,Urban
579,282,Politischer Bezirk Steyr-Land,VFN,Rural
580,45,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
581,45,Benešov,UQM,Rural
582,283,Litoměřice,NGO,Rural
583,283,Politischer Bezirk Eferding,ICA,Rural
584,283,Politischer Bezirk Eferding,ICA,Rural
585,281,Politischer Bezirk Eferding,ICA,Rural
586,210,Kokkola,WJO,Urban
587,284,Flandre-Orientale,KTR,Urban
588,54,Politischer Bezirk Hartberg-Fürstenfeld,JHJ,Urban
589,280,Chrudim,ICA,Urban
590,285,Oulu,TOH,Urban
591,286,Politischer Bezirk Korneuburg,IRG,Rural
592,287,Politischer Bezirk Gmünd,TPV,Rural
593,288,Politischer Bezirk Voitsberg,SQI,Rural
594,289,Litoměřice,NGO,Rural
595,289,Litoměřice,NGO,Rural
596,290,Oulunkaari,NLG,Urban
597,290,Haapavesi-Siikalatva,NLG,Urban
598,103,Dragør Kommune,YIU,Urban
599,291,Ylivieska,JOP,Urban
600,291,Kehys-Kainuu,JOP,Urban
601,124,Benešov,UQM,Rural
602,292,Kajaani,TIG,Urban
603,289,Litoměřice,NGO,Rural
604,293,Litoměřice,NGO,Rural
605,294,Politischer Bezirk Steyr-Land,VFN,Rural
606,295,Rovaniemi,OOO,Urban
607,296,Nový Jičín,LRJ,Rural
608,297,Flandre-Occidentale,LAV,Rural
609,34,Kemi-Tornio,WJO,Urban
610,34,Itä-Lappi,WJO,Urban
611,295,Tunturi-Lappi,OOO,Urban
612,164,Politischer Bezirk Korneuburg,IRG,Rural
613,164,Raaseporin,IRG,Urban
614,34,Loviisa,WJO,Urban
615,298,Politischer Bezirk Spittal an der Drau,OOO,Rural
616,211,Riihimäki,AAR,Urban
617,211,Forssa,AAR,Urban
618,211,Gribskov Kommune,NLX,Rural
619,77,Praha-východ,QDA,Rural
620,124,Benešov,UQM,Rural
621,294,Politischer Bezirk Steyr-Land,VFN,Rural
622,294,Politischer Bezirk Steyr-Land,VFN,Rural
623,291,Etelä-Pirkanmaa,WJO,Urban
624,291,Lounais-Pirkanmaa,WJO,Urban
625,28,Politischer Bezirk Ried im Innkreis,TZF,Urban
626,46,Ylä-Pirkanmaa,TIF,Urban
627,46,Kouvola,UAY,Urban
628,46,Koillis-Savo,TIF,Urban
629,46,Eisenstadt Stadt,TIF,Rural
630,299,Litoměřice,NGO,Rural
631,292,Kajaani,TIG,Urban
632,211,Varkaus,NLG,Urban
633,211,Gribskov Kommune,NLX,Rural
634,211,Sisä-Savo,NLG,Urban
635,295,Politischer Bezirk Spittal an der Drau,OOO,Rural
636,295,Jakobstadsregionen,OOO,Urban
637,295,Raahe,OOO,Urban
638,132,Graz Stadt,MMJ,Rural
639,300,Politischer Bezirk Eferding,ICA,Rural
640,301,Benešov,UQM,Rural
641,4,Nivala-Haapajärvi,IRA,Urban
642,74,Koillismaa,KTR,Urban
